わかります|wakarimasu|hiểu
あります|arimasu|có
すき|suki[na]|thích
きらい|kirai[na]|ghét
じょうず|jouzu[na]|giói
へた|heta[na]|kém
ひらがな|hiragana|chữ hiragana
かたかな|katakana|chữ katakana
ローマじ|roomaji|chữ romaji
かんじ|kanji|chữ hán
りょうり|ryouri|món ăn
くだもの|kudamono|trái cây
のみもの|nomimono|đồ uống
ぶたにく|butaniku|thịt lợn
とりにく|toriniku|thịt gà
ぎゅうにく|gyuuniku|thịt bò
みかん|mikan|quít
バナナ|banana|chuối
おんがく|ongaku|âm nhạc
ギター|gitaa|ghita
スポーツ|dansu|nhảy
スポーツ|supootsu|thể thao
サッカー|sakka|bóng đá
テニス|tenisu|quần vợt
じかん|jikan|thời gian
たくさん|takusan|nhiều
すこし|sukoshi|ít
よく|yoku|thường, hay
だいたい|daitai|khoảng
ぜんぜん|zenzen|hầu như ko
もちろん|mochiron|tất nhiên
どうして|doshite|vì sao, tại sao
から|kara|vì, bởi vì
びょうき|byouki|bệnh
くすり|kusuri|thuốc
あたま|atama|đầu
おなか|onaka|bụng
いたい|itai|đau
ねつがあります|netsu ga arimasu|sốt
かぜをひきました|kaze o hikimashita|bị cảm
やすみます|yasumimasu|nghỉ
なんですか|nan desuka|có việc gì đấy
すみませんが|Sumimasen ga|xin lỗi,~
どうしましたか|Dou shimashitaka|ông bị làm sao
