てがみ|tegami|thư
しんぶん|shinbun|báo chí
あの|ano|~ kia
あれ|are|cái kia
この|kono|~ này
ノート|noto|vở
かぎ|kagi|chìa khóa
おねがいします|onegaishimasu|phiền ông. làm ơn
はいざら|haizara|gạt tàn thuốc lá
ちがいます|chigaimasu|sai rồi, ko phải
まってください|matte kudasai|xin chờ
なん|nan|cái gì
かばん|kaban|túi xách, cặp
それ|sore|cái đó
ざっし|zasshi|tạp chí
そう|so-|như thế
どうもありがとうございます|do-mo arigatogozaimasu|rất cảm ơn
じしょ|jisho|từ điển
シャープペンシル|sha-pu penshiru|bút chì máy
その|sono|~ đó
ほん|hon|sách
かみ|kami|giấy
たばこ|tabako|thuốc lá
これ|kore|cái này
とけい|tokei|đồng hồ
えんぴつ|enpitsu|bút chì
マッチ|matchi|diêm
あ|a|à, chà
テープレコーダー|te-pu reko-da-|máy ghi âm
カメラ|kamera|camera
はこ|hako|hộp
いす|itsu|ghế
ライター|raita-|bật lửa
でんわ|denwa|điện thoại
どうぞ|do-zo|xin mời
つくえ|tsukue|bàn 
テレビ|terebi|TV
まど|mado|cửa sổ
ドア|doa|của ra vào
ボールペン|bo-rupen|bút bi
ちょっと|chotto|một chút
ラジオ|rajio|radio
